chr	window_start	reads_all	matches	matchrate
chr1	15000	1300	1115	0.857692
chr1	15100	1300	1044	0.803077
chr1	15200	1300	1108	0.852308
chr1	15300	1269	1072	0.84476
chr1	15400	1200	944	0.786667
chr1	15500	1133	963	0.849956
chr1	15600	1100	950	0.863636
chr1	15700	1100	896	0.814545
chr1	15800	1100	858	0.78
chr1	15900	1100	935	0.85
chr1	16000	1100	942	0.856364
chr1	16100	1100	914	0.830909
chr1	16200	1100	971	0.882727
chr1	16300	1100	903	0.820909
chr1	16400	1100	892	0.810909
chr1	16500	1132	923	0.815371
chr1	16600	1200	1030	0.858333
chr1	16700	1200	944	0.786667
chr1	16800	1200	1022	0.851667
chr1	16900	1200	972	0.81
chr1	17000	1200	990	0.825
chr1	17100	1200	1008	0.84
chr1	17200	1200	924	0.77
chr1	17300	1200	1024	0.853333
chr1	17400	1200	982	0.818333
chr1	17500	1200	1000	0.833333
chr1	17600	1200	970	0.808333
chr1	17700	1200	969	0.8075
chr1	17800	1200	980	0.816667
chr1	17900	1200	1027	0.855833
chr1	18000	1200	963	0.8025
chr1	18100	1200	970	0.808333
chr1	18200	1200	997	0.830833
chr1	18300	1200	1020	0.85
chr1	18400	1200	993	0.8275
chr1	18500	1199	981	0.818182
chr1	18600	1140	956	0.838596
chr1	18700	1200	1009	0.840833
chr1	18800	1200	961	0.800833
chr1	18900	1200	1028	0.856667
chr1	19000	1200	1001	0.834167
chr1	19100	1106	943	0.852622
chr1	19200	1100	908	0.825455
chr1	19300	1100	915	0.831818
chr1	19400	1177	1001	0.850467
chr1	19500	1200	930	0.775
chr1	19600	1200	984	0.82
chr1	19700	1134	931	0.820988
chr1	19800	1100	905	0.822727
chr1	19900	1100	929	0.844545
chr1	20000	1100	895	0.813636
chr1	20100	1100	957	0.87
chr1	20200	1100	927	0.842727
chr1	20300	1100	895	0.813636
chr1	20400	1100	907	0.824545
chr1	20500	1100	924	0.84
chr1	20600	1043	831	0.79674
chr1	20700	1066	888	0.833021
chr1	20800	1100	861	0.782727
chr1	20900	1100	941	0.855455
chr1	21000	1100	910	0.827273
chr1	21100	1100	914	0.830909
chr1	21200	1001	850	0.849151
chr1	21300	1000	794	0.794
chr1	21400	1058	845	0.798677
chr1	21500	991	792	0.799193
chr1	21600	965	804	0.833161
chr1	21700	1000	809	0.809
chr1	21800	1051	888	0.84491
chr1	21900	1200	1018	0.848333
chr1	22000	1200	991	0.825833
chr1	22100	1121	912	0.813559
chr1	22200	1100	926	0.841818
chr1	22300	1100	907	0.824545
chr1	22400	1154	894	0.774697
chr1	22500	1200	994	0.828333
chr1	22600	1200	988	0.823333
chr1	22700	1200	1006	0.838333
chr1	22800	1200	1047	0.8725
chr1	22900	1251	1013	0.809752
chr1	23000	1300	1059	0.814615
chr1	23100	1300	1053	0.81
chr1	23200	1371	1172	0.85485
chr1	23300	1400	1132	0.808571
chr1	23400	1400	1150	0.821429
chr1	23500	1400	1178	0.841429
chr1	23600	1400	1153	0.823571
chr1	23700	1400	1086	0.775714
chr1	23800	1400	1166	0.832857
chr1	23900	1400	1212	0.865714
chr1	24000	1344	1109	0.825149
chr1	24100	1232	1002	0.813312
chr1	24200	1320	1073	0.812879
chr1	24300	1400	1147	0.819286
chr1	24400	1400	1182	0.844286
chr1	24500	1400	1210	0.864286
chr1	24600	1400	1127	0.805
chr1	24700	1419	1146	0.807611
chr1	24800	1558	1311	0.841463
chr1	24900	1600	1302	0.81375
chr1	25000	1685	1388	0.823739
chr1	25100	1700	1445	0.85
chr1	25200	1752	1454	0.829909
chr1	25300	1800	1552	0.862222
chr1	25400	1800	1568	0.871111
chr1	25500	1800	1536	0.853333
chr1	25600	1800	1517	0.842778
chr1	25700	1800	1457	0.809444
chr1	25800	1800	1458	0.81
chr1	25900	1800	1530	0.85
chr1	26000	1800	1458	0.81
chr1	26100	1800	1456	0.808889
chr1	26200	1941	1479	0.761978
chr1	26300	2000	1724	0.862
chr1	26400	2000	1610	0.805
chr1	26500	1936	1613	0.833161
chr1	26600	1900	1558	0.82
chr1	26700	1900	1545	0.813158
chr1	26800	1900	1551	0.816316
chr1	26900	1900	1537	0.808947
chr1	27000	1900	1492	0.785263
chr1	27100	1900	1568	0.825263
chr1	27200	1900	1604	0.844211
chr1	27300	1900	1636	0.861053
chr1	27400	1900	1552	0.816842
chr1	27500	1900	1579	0.831053
chr1	27600	1900	1601	0.842632
chr1	27700	1900	1515	0.797368
chr1	27800	1900	1603	0.843684
chr1	27900	1900	1514	0.796842
chr1	28000	1900	1531	0.805789
chr1	28100	1900	1538	0.809474
chr1	28200	1900	1540	0.810526
chr1	28300	1873	1504	0.80299
chr1	28400	1974	1595	0.808004
chr1	28500	2000	1719	0.8595
chr1	28600	2000	1698	0.849
chr1	28700	2000	1677	0.8385
chr1	28800	2000	1751	0.8755
chr1	28900	2059	1743	0.846527
chr1	29000	2100	1739	0.828095
chr1	29100	2100	1782	0.848571
chr1	29200	2100	1729	0.823333
chr1	29300	2100	1784	0.849524
chr1	29400	2100	1650	0.785714
chr1	29500	2136	1697	0.794476
chr1	29600	2200	1802	0.819091
chr1	29700	2200	1873	0.851364
chr1	29800	2200	1851	0.841364
chr1	29900	2200	1883	0.855909
chr1	30000	2267	1848	0.815174
chr1	30100	2300	1783	0.775217
chr1	30200	2283	1892	0.828734
chr1	30300	2200	1688	0.767273
chr1	30400	2258	1894	0.838795
chr1	30500	2300	1924	0.836522
chr1	30600	2300	1835	0.797826
chr1	30700	2276	1854	0.814587
chr1	30800	2200	1742	0.791818
chr1	30900	2284	1969	0.862084
chr1	31000	2300	1967	0.855217
chr1	31100	2300	1811	0.787391
chr1	31200	2300	1949	0.847391
chr1	31300	2300	2011	0.874348
chr1	31400	2300	1863	0.81
chr1	31500	2300	1954	0.849565
chr1	31600	2300	1905	0.828261
chr1	31700	2300	1857	0.807391
chr1	31800	2300	1914	0.832174
chr1	31900	2300	1965	0.854348
chr1	32000	2300	1894	0.823478
chr1	32100	2300	1976	0.85913
chr1	32200	2276	1879	0.825571
chr1	32300	2200	1791	0.814091
chr1	32400	2200	1681	0.764091
chr1	32500	2200	1756	0.798182
chr1	32600	2200	1850	0.840909
chr1	32700	2261	1859	0.822203
chr1	32800	2300	1907	0.82913
chr1	32900	2300	1846	0.802609
chr1	33000	2300	1795	0.780435
chr1	33100	2370	2028	0.855696
chr1	33200	2445	1946	0.79591
chr1	33300	2505	2062	0.823154
chr1	33400	2600	2094	0.805385
chr1	33500	2507	2160	0.861588
chr1	33600	2500	2032	0.8128
chr1	33700	2404	1971	0.819884
chr1	33800	2322	1934	0.832903
chr1	33900	2300	1776	0.772174
chr1	34000	2300	1900	0.826087
chr1	34100	2300	1980	0.86087
chr1	34200	2250	1813	0.805778
chr1	34300	2200	1771	0.805
chr1	34400	2200	1749	0.795
chr1	34500	2278	1838	0.806848
chr1	34600	2210	1826	0.826244
chr1	34700	2200	1737	0.789545
chr1	34800	2200	1872	0.850909
chr1	34900	2123	1785	0.840791
chr1	35000	2197	1892	0.861174
chr1	35100	2200	1831	0.832273
chr1	35200	2200	1860	0.845455
chr1	35300	2200	1809	0.822273
chr1	35400	2131	1782	0.836227
chr1	35500	2100	1738	0.827619
chr1	35600	2100	1845	0.878571
chr1	35700	2100	1781	0.848095
chr1	35800	2011	1759	0.874689
chr1	35900	2006	1730	0.862413
chr1	36000	2100	1760	0.838095
chr1	36100	1988	1661	0.835513
chr1	36200	1832	1237	0.675218
chr1	36300	1800	995	0.552778
chr1	36400	1800	1355	0.752778
chr1	36500	1865	1551	0.831635
chr1	36600	1900	1673	0.880526
chr1	36700	1900	1504	0.791579
chr1	36800	1900	1613	0.848947
chr1	36900	1900	1555	0.818421
chr1	37000	1900	1598	0.841053
chr1	37100	1813	1503	0.829013
chr1	37200	1800	1458	0.81
chr1	37300	1800	1510	0.838889
chr1	37400	1800	1531	0.850556
chr1	37500	1873	1468	0.783769
chr1	37600	1896	1574	0.830169
chr1	37700	1800	1465	0.813889
chr1	37800	1800	1465	0.813889
chr1	37900	1800	1468	0.815556
chr1	38000	1800	1477	0.820556
chr1	38100	1752	1487	0.848744
chr1	38200	1700	1486	0.874118
chr1	38300	1700	1380	0.811765
chr1	38400	1700	1499	0.881765
chr1	38500	1700	1404	0.825882
chr1	38600	1700	1349	0.793529
chr1	38700	1700	1453	0.854706
chr1	38800	1770	1466	0.828249
chr1	38900	1800	1543	0.857222
chr1	39000	1800	1395	0.775
chr1	39100	1800	1571	0.872778
chr1	39200	1816	1410	0.776432
chr1	39300	2075	1770	0.853012
chr1	39400	2173	1859	0.855499
chr1	39500	2119	1748	0.824917
chr1	39600	2100	1685	0.802381
chr1	39700	2100	1728	0.822857
chr1	39800	2100	1761	0.838571
chr1	39900	2100	1735	0.82619
chr1	40000	2139	1662	0.776999
chr1	40100	2156	1855	0.86039
chr1	40200	2100	1785	0.85
chr1	40300	2100	1671	0.795714
chr1	40400	2100	1771	0.843333
chr1	40500	2100	1749	0.832857
chr1	40600	2100	1747	0.831905
chr1	40700	2100	1704	0.811429
chr1	40800	2100	1633	0.777619
chr1	40900	2017	1638	0.812097
chr1	41000	2029	1785	0.879744
chr1	41100	2100	1763	0.839524
chr1	41200	2069	1749	0.845336
chr1	41300	2000	1573	0.7865
chr1	41400	2000	1646	0.823
chr1	41500	1930	1641	0.850259
chr1	41600	1900	1614	0.849474
chr1	41700	1900	1582	0.832632
chr1	41800	1900	1580	0.831579
chr1	41900	1851	1538	0.830902
chr1	42000	1800	1402	0.778889
chr1	42100	1834	1511	0.823882
chr1	42200	1968	1602	0.814024
chr1	42300	2000	1615	0.8075
chr1	42400	2000	1672	0.836
chr1	42500	2000	1615	0.8075
chr1	42600	2000	1614	0.807
chr1	42700	2000	1631	0.8155
chr1	42800	2000	1668	0.834
chr1	42900	2052	1699	0.827973
chr1	43000	2100	1693	0.80619
chr1	43100	2100	1768	0.841905
chr1	43200	2100	1775	0.845238
chr1	43300	2100	1666	0.793333
chr1	43400	2147	1811	0.843503
chr1	43500	2200	1833	0.833182
chr1	43600	2200	1810	0.822727
chr1	43700	2200	1921	0.873182
chr1	43800	2200	1785	0.811364
chr1	43900	2200	1879	0.854091
chr1	44000	2121	1742	0.821311
chr1	44100	2100	1763	0.839524
chr1	44200	2100	1798	0.85619
chr1	44300	2081	1676	0.805382
chr1	44400	2067	1707	0.825835
chr1	44500	2100	1787	0.850952
chr1	44600	2100	1709	0.81381
chr1	44700	2007	1666	0.830095
chr1	44800	1858	1588	0.854682
chr1	44900	1800	1522	0.845556
chr1	45000	1800	1501	0.833889
chr1	45100	1800	1470	0.816667
chr1	45200	1800	1486	0.825556
chr1	45300	1800	1450	0.805556
chr1	45400	1800	1455	0.808333
chr1	45500	1800	1475	0.819444
chr1	45600	1800	1588	0.882222
chr1	45700	1800	1490	0.827778
chr1	45800	1800	1500	0.833333
chr1	45900	1800	1445	0.802778
chr1	46000	1800	1526	0.847778
chr1	46100	1800	1507	0.837222
chr1	46200	1800	1521	0.845
chr1	46300	1724	1436	0.832947
chr1	46400	1601	1290	0.805746
chr1	46500	1600	1365	0.853125
chr1	46600	1600	1374	0.85875
chr1	46700	1676	1435	0.856205
chr1	46800	1700	1413	0.831176
chr1	46900	1700	1367	0.804118
chr1	47000	1700	1331	0.782941
chr1	47100	1700	1479	0.87
chr1	47200	1739	1470	0.845313
chr1	47300	1800	1493	0.829444
chr1	47400	1747	1426	0.816256
chr1	47500	1800	1501	0.833889
chr1	47600	1800	1517	0.842778
chr1	47700	1800	1485	0.825
chr1	47800	1800	1504	0.835556
chr1	47900	1800	1433	0.796111
chr1	48000	1813	1507	0.831219
chr1	48100	1900	1513	0.796316
chr1	48200	1889	1527	0.808364
chr1	48300	1800	1473	0.818333
chr1	48400	1800	1501	0.833889
chr1	48500	1800	1482	0.823333
chr1	48600	1800	1509	0.838333
chr1	48700	1818	1457	0.80143
chr1	48800	1900	1533	0.806842
chr1	48900	1900	1507	0.793158
chr1	49000	1900	1622	0.853684
chr1	49100	1900	1529	0.804737
chr1	49200	1900	1581	0.832105
chr1	49300	1850	1552	0.838919
chr1	49400	1900	1554	0.817895
chr1	49500	1900	1542	0.811579
chr1	49600	1900	1526	0.803158
chr1	49700	1900	1494	0.786316
chr1	49800	1900	1519	0.799474
chr1	49900	1900	1608	0.846316
chr1	50000	1900	1503	0.791053
chr1	50100	1900	1641	0.863684
chr1	50200	1900	1545	0.813158
chr1	50300	1900	1641	0.863684
chr1	50400	1850	1584	0.856216
chr1	50500	1862	1518	0.815252
chr1	50600	1800	1408	0.782222
chr1	50700	1795	1489	0.829526
chr1	50800	1641	1342	0.817794
chr1	50900	1600	1340	0.8375
chr1	51000	1521	1306	0.858646
chr1	51100	1564	1247	0.797315
chr1	51200	1500	1246	0.830667
chr1	51300	1496	1245	0.832219
chr1	51400	1416	1175	0.829802
chr1	51500	1500	1217	0.811333
chr1	51600	1500	1261	0.840667
chr1	51700	1500	1202	0.801333
chr1	51800	1500	1199	0.799333
chr1	51900	1500	1243	0.828667
chr1	52000	1500	1213	0.808667
chr1	52100	1500	1214	0.809333
chr1	52200	1598	1290	0.807259
chr1	52300	1600	1301	0.813125
chr1	52400	1600	1325	0.828125
chr1	52500	1600	1364	0.8525
chr1	52600	1600	1276	0.7975
chr1	52700	1517	1279	0.843111
chr1	52800	1500	1198	0.798667
chr1	52900	1500	1214	0.809333
chr1	53000	1500	915	0.61
chr1	53100	1518	905	0.596179
chr1	53200	1600	1342	0.83875
chr1	53300	1600	1433	0.895625
chr1	53400	1451	1221	0.841489
chr1	53500	1400	1202	0.858571
chr1	53600	1400	1171	0.836429
chr1	53700	1400	1182	0.844286
chr1	53800	1400	1107	0.790714
chr1	53900	1490	1196	0.802685
chr1	54000	1500	1236	0.824
chr1	54100	1500	1273	0.848667
chr1	54200	1597	1359	0.850971
chr1	54300	1574	1319	0.837992
chr1	54400	1500	1258	0.838667
chr1	54500	1509	1201	0.795891
chr1	54600	1600	1289	0.805625
chr1	54700	1600	1340	0.8375
chr1	54800	1600	1314	0.82125
chr1	54900	1600	1292	0.8075
chr1	55000	1622	1374	0.847102
chr1	55100	1657	1356	0.818346
chr1	55200	1695	1296	0.764602
chr1	55300	1700	1431	0.841765
chr1	55400	1700	1303	0.766471
chr1	55500	1793	1396	0.778583
chr1	55600	1800	1516	0.842222
chr1	55700	1800	1458	0.81
chr1	55800	1800	1475	0.819444
chr1	55900	1800	1488	0.826667
chr1	56000	1800	1466	0.814444
chr1	56100	1802	1452	0.805771
chr1	56200	1900	1473	0.775263
chr1	56300	1822	1541	0.845774
chr1	56400	1800	1511	0.839444
chr1	56500	1800	1558	0.865556
chr1	56600	1800	1495	0.830556
chr1	56700	1838	1522	0.828074
chr1	56800	1925	1534	0.796883
chr1	56900	2000	1668	0.834
chr1	57000	2039	1588	0.778813
chr1	57100	2100	1681	0.800476
chr1	57200	2100	1720	0.819048
chr1	57300	2150	1810	0.84186
chr1	57400	2246	1916	0.853072
chr1	57500	2396	2021	0.843489
chr1	57600	2400	1984	0.826667
chr1	57700	2400	1953	0.81375
chr1	57800	2396	1967	0.820952
chr1	57900	2339	1999	0.854639
chr1	58000	2500	2035	0.814
chr1	58100	2568	2262	0.880841
chr1	58200	2600	2115	0.813462
chr1	58300	2600	2205	0.848077
chr1	58400	2600	2174	0.836154
chr1	58500	2590	2180	0.841699
chr1	58600	2600	2125	0.817308
chr1	58700	2600	2166	0.833077
chr1	58800	2600	2233	0.858846
chr1	58900	2600	2215	0.851923
chr1	59000	2600	2171	0.835
chr1	59100	2600	2081	0.800385
chr1	59200	2544	2113	0.830582
chr1	59300	2500	1903	0.7612
chr1	59400	2500	2061	0.8244
chr1	59500	2509	2030	0.809087
chr1	59600	2532	2072	0.818325
chr1	59700	2549	2123	0.832876
chr1	59800	2522	2142	0.849326
chr1	59900	2500	2138	0.8552
chr1	60000	2500	1939	0.7756
chr1	60100	2500	2134	0.8536
chr1	60200	2500	2127	0.8508
chr1	60300	2588	2176	0.840804
chr1	60400	2600	2060	0.792308
chr1	60500	2600	2178	0.837692
chr1	60600	2600	2205	0.848077
chr1	60700	2600	2198	0.845385
chr1	60800	2539	2153	0.847972
chr1	60900	2500	1952	0.7808
chr1	61000	2500	2023	0.8092
chr1	61100	2500	2027	0.8108
chr1	61200	2595	2094	0.806936
chr1	61300	2600	2076	0.798462
chr1	61400	2600	2128	0.818462
chr1	61500	2533	2207	0.871299
chr1	61600	2500	2157	0.8628
chr1	61700	2588	2056	0.794436
chr1	61800	2678	2135	0.797237
chr1	61900	2711	2183	0.805238
chr1	62000	2871	2408	0.838732
chr1	62100	2900	2322	0.80069
chr1	62200	2900	2361	0.814138
chr1	62300	2867	2327	0.81165
chr1	62400	2800	2280	0.814286
chr1	62500	2728	2328	0.853372
chr1	62600	2700	2301	0.852222
chr1	62700	2700	2242	0.83037
chr1	62800	2700	2296	0.85037
chr1	62900	2700	2139	0.792222
chr1	63000	2700	2364	0.875556
chr1	63100	2700	2296	0.85037
chr1	63200	2700	2234	0.827407
chr1	63300	2700	2283	0.845556
chr1	63400	2700	2174	0.805185
chr1	63500	2700	2276	0.842963
chr1	63600	2700	2208	0.817778
chr1	63700	2676	2304	0.860987
chr1	63800	2607	2119	0.812812
chr1	63900	2700	2315	0.857407
chr1	64000	2700	2181	0.807778
chr1	64100	2700	2224	0.823704
chr1	64200	2700	2147	0.795185
chr1	64300	2700	2246	0.831852
chr1	64400	2708	2249	0.830502
chr1	64500	2846	2268	0.796908
chr1	64600	2901	2405	0.829024
chr1	64700	3000	2535	0.845
chr1	64800	3096	2448	0.790698
chr1	64900	3015	2499	0.828856
chr1	65000	3000	2515	0.838333
chr1	65100	3000	2469	0.823
chr1	65200	3000	2403	0.801
chr1	65300	3018	2459	0.814778
chr1	65400	3000	2462	0.820667
chr1	65500	2940	2534	0.861905
chr1	65600	3000	2493	0.831
chr1	65700	3100	2527	0.815161
chr1	65800	3057	2433	0.795878
chr1	65900	3000	2533	0.844333
chr1	66000	3000	2517	0.839
chr1	66100	3000	2487	0.829
chr1	66200	2979	2544	0.853978
chr1	66300	2920	2526	0.865068
chr1	66400	3000	2559	0.853
chr1	66500	3000	2529	0.843
chr1	66600	3000	2485	0.828333
chr1	66700	3000	2650	0.883333
chr1	66800	3000	2473	0.824333
chr1	66900	3000	2381	0.793667
chr1	67000	2984	2443	0.8187
chr1	67100	2768	2212	0.799133
chr1	67200	2800	2222	0.793571
chr1	67300	2446	2027	0.8287
chr1	67400	2800	2276	0.812857
chr1	67500	2800	2305	0.823214
chr1	67600	2858	2431	0.850595
chr1	67700	2900	2425	0.836207
chr1	67800	2900	2470	0.851724
chr1	67900	2922	2346	0.802875
chr1	68000	3000	2487	0.829
chr1	68100	2978	2443	0.820349
chr1	68200	2900	2477	0.854138
chr1	68300	2817	2275	0.807597
chr1	68400	2800	2375	0.848214
chr1	68500	2800	2348	0.838571
chr1	68600	2801	2294	0.818993
chr1	68700	2667	2083	0.781027
chr1	68800	2576	2159	0.838121
chr1	68900	2500	2103	0.8412
chr1	69000	2414	1932	0.800331
chr1	69100	2387	1964	0.82279
chr1	69200	2300	1964	0.853913
chr1	69300	2300	1884	0.81913
chr1	69400	2211	1745	0.789236
chr1	69500	2200	1779	0.808636
chr1	69600	2200	1769	0.804091
chr1	69700	2179	1693	0.776962
chr1	69800	2100	1754	0.835238
chr1	69900	2005	1667	0.831421
chr1	70000	2000	1648	0.824
chr1	70100	2000	1664	0.832
chr1	70200	2000	1648	0.824
chr1	70300	2083	1703	0.817571
chr1	70400	2100	1671	0.795714
chr1	70500	2100	1726	0.821905
chr1	70600	2100	1765	0.840476
chr1	70700	2100	1647	0.784286
chr1	70800	2100	1739	0.828095
chr1	70900	2017	1757	0.871096
chr1	71000	2024	1667	0.823617
chr1	71100	2100	1736	0.826667
chr1	71200	2100	1747	0.831905
chr1	71300	2100	1724	0.820952
chr1	71400	2100	1782	0.848571
chr1	71500	2018	1710	0.847374
chr1	71600	2000	1755	0.8775
chr1	71700	1959	1648	0.841246
chr1	71800	2000	1575	0.7875
chr1	71900	2076	1589	0.765414
chr1	72000	2232	1809	0.810484
chr1	72100	2391	2041	0.853618
chr1	72200	2400	1973	0.822083
chr1	72300	2400	2067	0.86125
chr1	72400	2400	2027	0.844583
chr1	72500	2493	2046	0.820698
chr1	72600	2560	2173	0.848828
chr1	72700	2500	2078	0.8312
chr1	72800	2546	2196	0.862529
chr1	72900	2694	2174	0.806978
chr1	73000	2699	2145	0.794739
chr1	73100	2600	2195	0.844231
chr1	73200	2600	2106	0.81
chr1	73300	2538	2090	0.823483
chr1	73400	2500	2062	0.8248
chr1	73500	2500	2105	0.842
chr1	73600	2500	2051	0.8204
chr1	73700	2462	2037	0.827376
chr1	73800	2400	1981	0.825417
chr1	73900	2400	1969	0.820417
chr1	74000	2400	1996	0.831667
chr1	74100	2400	1987	0.827917
chr1	74200	2466	2027	0.821979
chr1	74300	2583	1994	0.771971
chr1	74400	2600	2129	0.818846
chr1	74500	2600	2228	0.856923
chr1	74600	2707	2346	0.866642
chr1	74700	2800	2310	0.825
chr1	74800	2800	2420	0.864286
chr1	74900	2831	2272	0.802543
chr1	75000	2900	2223	0.766552
chr1	75100	2900	2388	0.823448
chr1	75200	2819	2401	0.85172
chr1	75300	2800	2474	0.883571
chr1	75400	2835	2325	0.820106
chr1	75500	2894	2464	0.851417
chr1	75600	2900	2216	0.764138
chr1	75700	2900	2534	0.873793
chr1	75800	2900	2347	0.80931
chr1	75900	2900	2381	0.821034
chr1	76000	2900	2394	0.825517
chr1	76100	2900	2273	0.783793
chr1	76200	2900	2298	0.792414
chr1	76300	2823	2304	0.816153
chr1	76400	2785	2225	0.798923
chr1	76500	2600	2272	0.873846
chr1	76600	2600	2077	0.798846
chr1	76700	2600	2001	0.769615
chr1	76800	2600	2279	0.876538
chr1	76900	2651	2236	0.843455
chr1	77000	2736	2270	0.829678
chr1	77100	2730	2335	0.855311
chr1	77200	2700	2157	0.798889
chr1	77300	2611	2093	0.801609
chr1	77400	2600	2133	0.820385
chr1	77500	2650	2172	0.819623
chr1	77600	2600	2079	0.799615
chr1	77700	2631	2144	0.814899
chr1	77800	2700	2277	0.843333
chr1	77900	2700	2227	0.824815
chr1	78000	2622	2178	0.830664
chr1	78100	2643	2181	0.825199
chr1	78200	2700	2167	0.802593
chr1	78300	2700	2126	0.787407
chr1	78400	2700	2309	0.855185
chr1	78500	2700	2187	0.81
chr1	78600	2789	2341	0.839369
chr1	78700	2800	2388	0.852857
chr1	78800	2800	2334	0.833571
chr1	78900	2800	2331	0.8325
chr1	79000	2800	2433	0.868929
chr1	79100	2800	2371	0.846786
chr1	79200	2800	2442	0.872143
chr1	79300	2800	2267	0.809643
chr1	79400	2767	2185	0.789664
